,emoji,meanings_en,meanings_ru
1911,🧎🏿‍♂,"[""kneeling""]","[""колени""]"
1912,🧎‍♀️,[],[]
1913,🧎‍♀,[],[]
1914,🧎🏻‍♀️,[],[]
1915,🧎🏻‍♀,[],[]
1916,🧎🏼‍♀️,[],[]
1917,🧎🏼‍♀,[],[]
1918,🧎🏽‍♀️,[],[]
1919,🧎🏽‍♀,[],[]
1920,🧎🏾‍♀️,[],[]
1921,🧎🏾‍♀,[],[]
1922,🧎🏿‍♀️,[],[]
1923,🧎🏿‍♀,[],[]
1924,🧑‍🦯,"[""white cane""]","[""белый тростник""]"
1925,🧑🏻‍🦯,"[""white cane""]","[""белый тростник""]"
1926,🧑🏼‍🦯,"[""white cane""]","[""белый тростник""]"
1927,🧑🏽‍🦯,"[""white cane""]","[""белый тростник""]"
1928,🧑🏾‍🦯,"[""white cane""]","[""белый тростник""]"
1929,🧑🏿‍🦯,"[""white cane""]","[""белый тростник""]"
1930,👨‍🦯,"[""white cane""]","[""белый тростник""]"
1931,👨🏻‍🦯,"[""white cane""]","[""белый тростник""]"
1932,👨🏼‍🦯,"[""white cane""]","[""белый тростник""]"
1933,👨🏽‍🦯,"[""white cane""]","[""белый тростник""]"
1934,👨🏾‍🦯,"[""white cane""]","[""белый тростник""]"
1935,👨🏿‍🦯,"[""white cane""]","[""белый тростник""]"
1936,👩‍🦯,"[""white cane""]","[""белый тростник""]"
1937,👩🏻‍🦯,"[""white cane""]","[""белый тростник""]"
1938,👩🏼‍🦯,"[""white cane""]","[""белый тростник""]"
1939,👩🏽‍🦯,"[""white cane""]","[""белый тростник""]"
1940,👩🏾‍🦯,"[""white cane""]","[""белый тростник""]"
1941,👩🏿‍🦯,"[""white cane""]","[""белый тростник""]"
1942,🧑‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1943,🧑🏻‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1944,🧑🏼‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1945,🧑🏽‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1946,🧑🏾‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1947,🧑🏿‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1948,👨‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1949,👨🏻‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1950,👨🏼‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1951,👨🏽‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1952,👨🏾‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1953,👨🏿‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1954,👩‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1955,👩🏻‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1956,👩🏼‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1957,👩🏽‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1958,👩🏾‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1959,👩🏿‍🦼,"[""motorized wheelchair""]","[""моторизованный инвалидное кресло""]"
1960,🧑‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1961,🧑🏻‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1962,🧑🏼‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1963,🧑🏽‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1964,🧑🏾‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1965,🧑🏿‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1966,👨‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1967,👨🏻‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1968,👨🏼‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1969,👨🏽‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1970,👨🏾‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1971,👨🏿‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1972,👩‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1973,👩🏻‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1974,👩🏼‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1975,👩🏽‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1976,👩🏾‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1977,👩🏿‍🦽,"[""manual wheelchair""]","[""ручное кресло""]"
1978,🏃,"[""running"", ""jogging"", ""run""]","[""бег"", ""бег"", ""запустить""]"
1979,🏃🏻,"[""running""]","[""бег""]"
1980,🏃🏼,"[""running""]","[""бег""]"
1981,🏃🏽,"[""running""]","[""бег""]"
1982,🏃🏾,"[""running""]","[""бег""]"
1983,🏃🏿,"[""running""]","[""бег""]"
1984,🏃‍♂️,"[""running""]","[""бег""]"
1985,🏃‍♂,"[""running""]","[""бег""]"
1986,🏃🏻‍♂️,"[""running""]","[""бег""]"
1987,🏃🏻‍♂,"[""running""]","[""бег""]"
1988,🏃🏼‍♂️,"[""running""]","[""бег""]"
1989,🏃🏼‍♂,"[""running""]","[""бег""]"
1990,🏃🏽‍♂️,"[""running""]","[""бег""]"
1991,🏃🏽‍♂,"[""running""]","[""бег""]"
1992,🏃🏾‍♂️,"[""running""]","[""бег""]"
1993,🏃🏾‍♂,"[""running""]","[""бег""]"
1994,🏃🏿‍♂️,"[""running""]","[""бег""]"
1995,🏃🏿‍♂,"[""running""]","[""бег""]"
1996,🏃‍♀️,"[""boy runner""]","[""мальчик бегун""]"
1997,🏃‍♀,"[""boy runner""]","[""мальчик бегун""]"
1998,🏃🏻‍♀️,[],[]
1999,🏃🏻‍♀,[],[]
2000,🏃🏼‍♀️,[],[]
2001,🏃🏼‍♀,[],[]
2002,🏃🏽‍♀️,[],[]
2003,🏃🏽‍♀,[],[]
2004,🏃🏾‍♀️,[],[]
2005,🏃🏾‍♀,[],[]
2006,🏃🏿‍♀️,[],[]
2007,🏃🏿‍♀,[],[]
2008,💃,"[""red dress woman"", ""salsa dancer""]","[""красное платье женщина"", ""Сальса танцор""]"
2009,💃🏻,[],[]
2010,💃🏼,[],[]
2011,💃🏽,[],[]
2012,💃🏾,[],[]
2013,💃🏿,[],[]
2014,🕺,"[""dancing"", ""disco dancer"", ""male dancer""]","[""танцы"", ""диско танцор"", ""мужской танцор""]"
2015,🕺🏻,"[""dancing""]","[""танцы""]"
2016,🕺🏼,"[""dancing""]","[""танцы""]"
2017,🕺🏽,"[""dancing""]","[""танцы""]"
2018,🕺🏾,"[""dancing""]","[""танцы""]"
2019,🕺🏿,"[""dancing""]","[""танцы""]"
2020,🕴️,"[""suit levitating"", ""hovering man"", ""rude boy"", ""walt jabsco""]","[""костюм levitating"", ""ховеринг человек"", ""грубый мальчик"", ""Вальта jabsco""]"
2021,🕴,"[""suit levitating"", ""hovering man"", ""rude boy"", ""walt jabsco""]","[""костюм levitating"", ""ховеринг человек"", ""грубый мальчик"", ""Вальта jabsco""]"
2022,🕴🏻,"[""suit levitating""]","[""костюм levitating""]"
2023,🕴🏼,"[""suit levitating""]","[""костюм levitating""]"
2024,🕴🏽,"[""suit levitating""]","[""костюм levitating""]"
2025,🕴🏾,"[""suit levitating""]","[""костюм levitating""]"
2026,🕴🏿,"[""suit levitating""]","[""костюм levitating""]"
2027,👯,"[""people with bunny ears"", ""ballet"", ""dancing girls"", ""let's party"", ""showgirls""]","[""люди с кроя уши"", ""балет"", ""танцы девочки"", ""давайте вечеринки"", ""шоудевушки""]"
2028,👯‍♂️,"[""men with bunny ears""]","[""мужчины с кроя ушей""]"
2029,👯‍♂,"[""men with bunny ears""]","[""мужчины с кроя ушей""]"
2030,👯‍♀️,"[""women with bunny ears""]","[""женщины с кроя ушей""]"
2031,👯‍♀,"[""women with bunny ears""]","[""женщины с кроя ушей""]"
2032,🧖,"[""steamy"", ""sauna""]","[""пари"", ""сауна""]"
2033,🧖🏻,"[""steamy""]","[""пари""]"
2034,🧖🏼,"[""steamy""]","[""пари""]"
2035,🧖🏽,"[""steamy""]","[""пари""]"
2036,🧖🏾,"[""steamy""]","[""пари""]"
2037,🧖🏿,"[""steamy""]","[""пари""]"
2038,🧖‍♂️,"[""steamy""]","[""пари""]"
2039,🧖‍♂,"[""steamy""]","[""пари""]"
2040,🧖🏻‍♂️,"[""steamy""]","[""пари""]"
2041,🧖🏻‍♂,"[""steamy""]","[""пари""]"
2042,🧖🏼‍♂️,"[""steamy""]","[""пари""]"
2043,🧖🏼‍♂,"[""steamy""]","[""пари""]"
2044,🧖🏽‍♂️,"[""steamy""]","[""пари""]"
2045,🧖🏽‍♂,"[""steamy""]","[""пари""]"
2046,🧖🏾‍♂️,"[""steamy""]","[""пари""]"
2047,🧖🏾‍♂,"[""steamy""]","[""пари""]"
2048,🧖🏿‍♂️,"[""steamy""]","[""пари""]"
2049,🧖🏿‍♂,"[""steamy""]","[""пари""]"
2050,🧖‍♀️,"[""steamy""]","[""пари""]"
2051,🧖‍♀,"[""steamy""]","[""пари""]"
2052,🧖🏻‍♀️,"[""steamy""]","[""пари""]"
2053,🧖🏻‍♀,"[""steamy""]","[""пари""]"
2054,🧖🏼‍♀️,"[""steamy""]","[""пари""]"
2055,🧖🏼‍♀,"[""steamy""]","[""пари""]"
2056,🧖🏽‍♀️,"[""steamy""]","[""пари""]"
2057,🧖🏽‍♀,"[""steamy""]","[""пари""]"
2058,🧖🏾‍♀️,"[""steamy""]","[""пари""]"
2059,🧖🏾‍♀,"[""steamy""]","[""пари""]"
2060,🧖🏿‍♀️,"[""steamy""]","[""пари""]"
2061,🧖🏿‍♀,"[""steamy""]","[""пари""]"
2062,🧗,"[""climbing"", ""climber"", ""rock climbing""]","[""Восхождение"", ""альпинист"", ""скалолазание""]"
2063,🧗🏻,"[""climbing""]","[""Восхождение""]"
2064,🧗🏼,"[""climbing""]","[""Восхождение""]"
2065,🧗🏽,"[""climbing""]","[""Восхождение""]"
2066,🧗🏾,"[""climbing""]","[""Восхождение""]"
2067,🧗🏿,"[""climbing""]","[""Восхождение""]"
2068,🧗‍♂️,"[""climbing"", ""male rock climber"", ""climber""]","[""Восхождение"", ""мужской рок альпинист"", ""альпинист""]"
2069,🧗‍♂,"[""climbing"", ""male rock climber"", ""climber""]","[""Восхождение"", ""мужской рок альпинист"", ""альпинист""]"
2070,🧗🏻‍♂️,"[""climbing""]","[""Восхождение""]"
2071,🧗🏻‍♂,"[""climbing""]","[""Восхождение""]"
2072,🧗🏼‍♂️,"[""climbing""]","[""Восхождение""]"
2073,🧗🏼‍♂,"[""climbing""]","[""Восхождение""]"
2074,🧗🏽‍♂️,"[""climbing""]","[""Восхождение""]"
2075,🧗🏽‍♂,"[""climbing""]","[""Восхождение""]"
2076,🧗🏾‍♂️,"[""climbing""]","[""Восхождение""]"
2077,🧗🏾‍♂,"[""climbing""]","[""Восхождение""]"
2078,🧗🏿‍♂️,"[""climbing""]","[""Восхождение""]"
2079,🧗🏿‍♂,"[""climbing""]","[""Восхождение""]"
2080,🧗‍♀️,"[""female rock climber""]","[""женский рок альпинист""]"
2081,🧗‍♀,"[""female rock climber""]","[""женский рок альпинист""]"
2082,🧗🏻‍♀️,[],[]
2083,🧗🏻‍♀,[],[]
2084,🧗🏼‍♀️,[],[]
2085,🧗🏼‍♀,[],[]
2086,🧗🏽‍♀️,[],[]
2087,🧗🏽‍♀,[],[]
2088,🧗🏾‍♀️,[],[]
2089,🧗🏾‍♀,[],[]
2090,🧗🏿‍♀️,[],[]
2091,🧗🏿‍♀,[],[]
2092,🤺,"[""fencing""]","[""фехтование""]"
2093,🏇,"[""horse racing"", ""horse race"", ""jockey""]","[""конная гонка"", ""конная гонка"", ""ДЖОККИ""]"
2094,🏇🏻,"[""horse racing""]","[""конная гонка""]"
2095,🏇🏼,"[""horse racing""]","[""конная гонка""]"
2096,🏇🏽,"[""horse racing""]","[""конная гонка""]"
2097,🏇🏾,"[""horse racing""]","[""конная гонка""]"
2098,🏇🏿,"[""horse racing""]","[""конная гонка""]"
2099,⛷️,"[""skier""]","[""лыжник""]"
2100,⛷,"[""skier""]","[""лыжник""]"
2101,🏂,"[""snowboarder"", ""snowboard"", ""snowboarding""]","[""сноубордер"", ""Сноуборд"", ""Сноуборд""]"
2102,🏂🏻,"[""snowboarder""]","[""сноубордер""]"
2103,🏂🏼,"[""snowboarder""]","[""сноубордер""]"
2104,🏂🏽,"[""snowboarder""]","[""сноубордер""]"
2105,🏂🏾,"[""snowboarder""]","[""сноубордер""]"
2106,🏂🏿,"[""snowboarder""]","[""сноубордер""]"
2107,🏌️,"[""golfing"", ""golf"", ""golf club""]","[""гольф"", ""гольф"", ""гольф-клуб""]"
2108,🏌,"[""golfing"", ""golf"", ""golf club""]","[""гольф"", ""гольф"", ""гольф-клуб""]"
2109,🏌🏻,"[""golfing""]","[""гольф""]"
2110,🏌🏼,"[""golfing""]","[""гольф""]"
2111,🏌🏽,"[""golfing""]","[""гольф""]"
2112,🏌🏾,"[""golfing""]","[""гольф""]"
2113,🏌🏿,"[""golfing""]","[""гольф""]"
2114,🏌️‍♂️,"[""golfing""]","[""гольф""]"
2115,🏌‍♂️,"[""golfing""]","[""гольф""]"
2116,🏌️‍♂,"[""golfing""]","[""гольф""]"
2117,🏌‍♂,"[""golfing""]","[""гольф""]"
2118,🏌🏻‍♂️,"[""golfing""]","[""гольф""]"
2119,🏌🏻‍♂,"[""golfing""]","[""гольф""]"
2120,🏌🏼‍♂️,"[""golfing""]","[""гольф""]"
2121,🏌🏼‍♂,"[""golfing""]","[""гольф""]"
2122,🏌🏽‍♂️,"[""golfing""]","[""гольф""]"
2123,🏌🏽‍♂,"[""golfing""]","[""гольф""]"
2124,🏌🏾‍♂️,"[""golfing""]","[""гольф""]"
2125,🏌🏾‍♂,"[""golfing""]","[""гольф""]"
2126,🏌🏿‍♂️,"[""golfing""]","[""гольф""]"
2127,🏌🏿‍♂,"[""golfing""]","[""гольф""]"
2128,🏌️‍♀️,[],[]
2129,🏌‍♀️,[],[]
2130,🏌️‍♀,[],[]
2131,🏌‍♀,[],[]
2132,🏌🏻‍♀️,[],[]
2133,🏌🏻‍♀,[],[]
2134,🏌🏼‍♀️,[],[]
2135,🏌🏼‍♀,[],[]
2136,🏌🏽‍♀️,[],[]
2137,🏌🏽‍♀,[],[]
2138,🏌🏾‍♀️,[],[]
2139,🏌🏾‍♀,[],[]
2140,🏌🏿‍♀️,[],[]
2141,🏌🏿‍♀,[],[]
2142,🏄,"[""surfing"", ""surf"", ""surfing""]","[""серфинг"", ""серфинг"", ""серфинг""]"
2143,🏄🏻,"[""surfing""]","[""серфинг""]"
2144,🏄🏼,"[""surfing""]","[""серфинг""]"
2145,🏄🏽,"[""surfing""]","[""серфинг""]"
2146,🏄🏾,"[""surfing""]","[""серфинг""]"
2147,🏄🏿,"[""surfing""]","[""серфинг""]"
2148,🏄‍♂️,"[""surfing""]","[""серфинг""]"
2149,🏄‍♂,"[""surfing""]","[""серфинг""]"
2150,🏄🏻‍♂️,"[""surfing""]","[""серфинг""]"
2151,🏄🏻‍♂,"[""surfing""]","[""серфинг""]"
2152,🏄🏼‍♂️,"[""surfing""]","[""серфинг""]"
2153,🏄🏼‍♂,"[""surfing""]","[""серфинг""]"
2154,🏄🏽‍♂️,"[""surfing""]","[""серфинг""]"
2155,🏄🏽‍♂,"[""surfing""]","[""серфинг""]"
2156,🏄🏾‍♂️,"[""surfing""]","[""серфинг""]"
2157,🏄🏾‍♂,"[""surfing""]","[""серфинг""]"
2158,🏄🏿‍♂️,"[""surfing""]","[""серфинг""]"
2159,🏄🏿‍♂,"[""surfing""]","[""серфинг""]"
2160,🏄‍♀️,[],[]
2161,🏄‍♀,[],[]
2162,🏄🏻‍♀️,[],[]
2163,🏄🏻‍♀,[],[]
2164,🏄🏼‍♀️,[],[]
2165,🏄🏼‍♀,[],[]
2166,🏄🏽‍♀️,[],[]
2167,🏄🏽‍♀,[],[]
2168,🏄🏾‍♀️,[],[]
2169,🏄🏾‍♀,[],[]
2170,🏄🏿‍♀️,[],[]
2171,🏄🏿‍♀,[],[]
2172,🚣,"[""rowing boat"", ""boat with paddles"", ""rowing""]","[""гребная лодка"", ""лодка с защелками"", ""гребли""]"
2173,🚣🏻,"[""rowing boat""]","[""гребная лодка""]"
2174,🚣🏼,"[""rowing boat""]","[""гребная лодка""]"
2175,🚣🏽,"[""rowing boat""]","[""гребная лодка""]"
2176,🚣🏾,"[""rowing boat""]","[""гребная лодка""]"
2177,🚣🏿,"[""rowing boat""]","[""гребная лодка""]"
2178,🚣‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2179,🚣‍♂,"[""rowing boat""]","[""гребная лодка""]"
2180,🚣🏻‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2181,🚣🏻‍♂,"[""rowing boat""]","[""гребная лодка""]"
2182,🚣🏼‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2183,🚣🏼‍♂,"[""rowing boat""]","[""гребная лодка""]"
2184,🚣🏽‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2185,🚣🏽‍♂,"[""rowing boat""]","[""гребная лодка""]"
2186,🚣🏾‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2187,🚣🏾‍♂,"[""rowing boat""]","[""гребная лодка""]"
2188,🚣🏿‍♂️,"[""rowing boat""]","[""гребная лодка""]"
2189,🚣🏿‍♂,"[""rowing boat""]","[""гребная лодка""]"
2190,🚣‍♀️,[],[]
2191,🚣‍♀,[],[]
2192,🚣🏻‍♀️,[],[]
2193,🚣🏻‍♀,[],[]
2194,🚣🏼‍♀️,[],[]
2195,🚣🏼‍♀,[],[]
2196,🚣🏽‍♀️,[],[]
2197,🚣🏽‍♀,[],[]
2198,🚣🏾‍♀️,[],[]
2199,🚣🏾‍♀,[],[]
2200,🚣🏿‍♀️,[],[]
2201,🚣🏿‍♀,[],[]
2202,🏊,"[""swimming"", ""swimming""]","[""плавание"", ""плавание""]"
2203,🏊🏻,"[""swimming""]","[""плавание""]"
2204,🏊🏼,"[""swimming""]","[""плавание""]"
2205,🏊🏽,"[""swimming""]","[""плавание""]"
2206,🏊🏾,"[""swimming""]","[""плавание""]"
2207,🏊🏿,"[""swimming""]","[""плавание""]"
2208,🏊‍♂️,"[""swimming""]","[""плавание""]"
2209,🏊‍♂,"[""swimming""]","[""плавание""]"
2210,🏊🏻‍♂️,"[""swimming""]","[""плавание""]"
2211,🏊🏻‍♂,"[""swimming""]","[""плавание""]"
2212,🏊🏼‍♂️,"[""swimming""]","[""плавание""]"
2213,🏊🏼‍♂,"[""swimming""]","[""плавание""]"
2214,🏊🏽‍♂️,"[""swimming""]","[""плавание""]"
2215,🏊🏽‍♂,"[""swimming""]","[""плавание""]"
2216,🏊🏾‍♂️,"[""swimming""]","[""плавание""]"
2217,🏊🏾‍♂,"[""swimming""]","[""плавание""]"
2218,🏊🏿‍♂️,"[""swimming""]","[""плавание""]"
2219,🏊🏿‍♂,"[""swimming""]","[""плавание""]"
2220,🏊‍♀️,[],[]
2221,🏊‍♀,[],[]
2222,🏊🏻‍♀️,[],[]
2223,🏊🏻‍♀,[],[]
2224,🏊🏼‍♀️,[],[]
2225,🏊🏼‍♀,[],[]
2226,🏊🏽‍♀️,[],[]
2227,🏊🏽‍♀,[],[]
2228,🏊🏾‍♀️,[],[]
2229,🏊🏾‍♀,[],[]
