,emoji,keywords_ru
1042,🧑🏽‍🍳,"{""средний"": 566, ""повар"": 19}"
1043,🧑🏾‍🍳,"{""средний парк"": 561, ""повар"": 19}"
1044,🧑🏿‍🍳,"{""темнота"": 564, ""повар"": 19}"
1045,👨‍🍳,"{""мужчина"": 15, ""человек"": 1003, ""шеф-повар"": 2, ""повар"": 19}"
1046,👨🏻‍🍳,"{""свет"": 566, ""человек"": 1003, ""повар"": 19}"
1047,👨🏼‍🍳,"{""средний свет"": 561, ""человек"": 1003, ""повар"": 19}"
1048,👨🏽‍🍳,"{""человек"": 1003, ""средний"": 566, ""повар"": 19}"
1049,👨🏾‍🍳,"{""средний парк"": 561, ""человек"": 1003, ""повар"": 19}"
1050,👨🏿‍🍳,"{""человек"": 1003, ""темнота"": 564, ""повар"": 19}"
1051,👩‍🍳,"{""шеф-повар"": 2, ""женщина"": 14, ""повар"": 19}"
1052,👩🏻‍🍳,"{""свет"": 566, ""женщина"": 1012, ""повар"": 19}"
1053,👩🏼‍🍳,"{""средний свет"": 561, ""женщина"": 1012, ""повар"": 19}"
1054,👩🏽‍🍳,"{""средний"": 566, ""женщина"": 1012, ""повар"": 19}"
1055,👩🏾‍🍳,"{""средний парк"": 561, ""женщина"": 1012, ""повар"": 19}"
1056,👩🏿‍🍳,"{""женщина"": 1012, ""темнота"": 564, ""повар"": 19}"
1057,🧑‍🔧,"{""механик"": 18}"
1058,🧑🏻‍🔧,"{""свет"": 566, ""механик"": 18}"
1059,🧑🏼‍🔧,"{""средний свет"": 561, ""механик"": 18}"
1060,🧑🏽‍🔧,"{""механик"": 18, ""средний"": 566}"
1061,🧑🏾‍🔧,"{""средний парк"": 561, ""механик"": 18}"
1062,🧑🏿‍🔧,"{""механик"": 18, ""темнота"": 564}"
1063,👨‍🔧,"{""человек"": 1003, ""механик"": 18}"
1064,👨🏻‍🔧,"{""свет"": 566, ""человек"": 1003, ""механик"": 18}"
1065,👨🏼‍🔧,"{""средний свет"": 561, ""человек"": 1003, ""механик"": 18}"
1066,👨🏽‍🔧,"{""человек"": 1003, ""механик"": 18, ""средний"": 566}"
1067,👨🏾‍🔧,"{""средний парк"": 561, ""человек"": 1003, ""механик"": 18}"
1068,👨🏿‍🔧,"{""человек"": 1003, ""механик"": 18, ""темнота"": 564}"
1069,👩‍🔧,"{""женщина"": 1012, ""механик"": 18}"
1070,👩🏻‍🔧,"{""свет"": 566, ""механик"": 18, ""женщина"": 1012}"
1071,👩🏼‍🔧,"{""средний свет"": 561, ""механик"": 18, ""женщина"": 1012}"
1072,👩🏽‍🔧,"{""механик"": 18, ""средний"": 566, ""женщина"": 1012}"
1073,👩🏾‍🔧,"{""средний парк"": 561, ""механик"": 18, ""женщина"": 1012}"
1074,👩🏿‍🔧,"{""механик"": 18, ""женщина"": 1012, ""темнота"": 564}"
1075,🧑‍🏭,"{""работник"": 104, ""фабрика"": 19}"
1076,🧑🏻‍🏭,"{""работник"": 104, ""свет"": 566, ""фабрика"": 19}"
1077,🧑🏼‍🏭,"{""работник"": 104, ""средний свет"": 561, ""фабрика"": 19}"
1078,🧑🏽‍🏭,"{""работник"": 104, ""фабрика"": 19, ""средний"": 566}"
1079,🧑🏾‍🏭,"{""работник"": 104, ""фабрика"": 19, ""средний парк"": 561}"
1080,🧑🏿‍🏭,"{""работник"": 104, ""фабрика"": 19, ""темнота"": 564}"
1081,👨‍🏭,"{""работник"": 104, ""фабрика"": 19, ""человек"": 1003}"
1082,👨🏻‍🏭,"{""работник"": 104, ""свет"": 566, ""фабрика"": 19, ""человек"": 1003}"
1083,👨🏼‍🏭,"{""работник"": 104, ""средний свет"": 561, ""фабрика"": 19, ""человек"": 1003}"
1084,👨🏽‍🏭,"{""работник"": 104, ""фабрика"": 19, ""человек"": 1003, ""средний"": 566}"
1085,👨🏾‍🏭,"{""работник"": 104, ""фабрика"": 19, ""средний парк"": 561, ""человек"": 1003}"
1086,👨🏿‍🏭,"{""работник"": 104, ""фабрика"": 19, ""человек"": 1003, ""темнота"": 564}"
1087,👩‍🏭,"{""работник"": 104, ""фабрика"": 19, ""женщина"": 1012}"
1088,👩🏻‍🏭,"{""работник"": 104, ""свет"": 566, ""фабрика"": 19, ""женщина"": 1012}"
1089,👩🏼‍🏭,"{""работник"": 104, ""средний свет"": 561, ""фабрика"": 19, ""женщина"": 1012}"
1090,👩🏽‍🏭,"{""работник"": 104, ""фабрика"": 19, ""средний"": 566, ""женщина"": 1012}"
1091,👩🏾‍🏭,"{""работник"": 104, ""фабрика"": 19, ""средний парк"": 561, ""женщина"": 1012}"
1092,👩🏿‍🏭,"{""работник"": 104, ""фабрика"": 19, ""женщина"": 1012, ""темнота"": 564}"
1093,🧑‍💼,"{""работник"": 104, ""офис"": 21}"
1094,🧑🏻‍💼,"{""работник"": 104, ""свет"": 566, ""офис"": 21}"
1095,🧑🏼‍💼,"{""работник"": 104, ""средний свет"": 561, ""офис"": 21}"
1096,🧑🏽‍💼,"{""работник"": 104, ""офис"": 21, ""средний"": 566}"
1097,🧑🏾‍💼,"{""работник"": 104, ""офис"": 21, ""средний парк"": 561}"
1098,🧑🏿‍💼,"{""работник"": 104, ""офис"": 21, ""темнота"": 564}"
1099,👨‍💼,"{""работник"": 104, ""офис"": 21, ""бизнесмен"": 1, ""человек"": 1003, ""Сео"": 2}"
1100,👨🏻‍💼,"{""работник"": 104, ""свет"": 566, ""офис"": 21, ""человек"": 1003}"
1101,👨🏼‍💼,"{""работник"": 104, ""средний свет"": 561, ""офис"": 21, ""человек"": 1003}"
1102,👨🏽‍💼,"{""работник"": 104, ""офис"": 21, ""человек"": 1003, ""средний"": 566}"
1103,👨🏾‍💼,"{""работник"": 104, ""офис"": 21, ""средний парк"": 561, ""человек"": 1003}"
1104,👨🏿‍💼,"{""работник"": 104, ""офис"": 21, ""человек"": 1003, ""темнота"": 564}"
1105,👩‍💼,"{""работник"": 104, ""бизнесмен"": 1, ""офис"": 21, ""Сео"": 2, ""женщина"": 1012}"
1106,👩🏻‍💼,"{""работник"": 104, ""свет"": 566, ""офис"": 21, ""женщина"": 1012}"
1107,👩🏼‍💼,"{""работник"": 104, ""средний свет"": 561, ""офис"": 21, ""женщина"": 1012}"
1108,👩🏽‍💼,"{""работник"": 104, ""офис"": 21, ""средний"": 566, ""женщина"": 1012}"
1109,👩🏾‍💼,"{""работник"": 104, ""офис"": 21, ""средний парк"": 561, ""женщина"": 1012}"
1110,👩🏿‍💼,"{""работник"": 104, ""офис"": 21, ""женщина"": 1012, ""темнота"": 564}"
1111,🧑‍🔬,"{""Ученый"": 18}"
1112,🧑🏻‍🔬,"{""Ученый"": 18, ""свет"": 566}"
1113,🧑🏼‍🔬,"{""Ученый"": 18, ""средний свет"": 561}"
1114,🧑🏽‍🔬,"{""Ученый"": 18, ""средний"": 566}"
1115,🧑🏾‍🔬,"{""Ученый"": 18, ""средний парк"": 561}"
1116,🧑🏿‍🔬,"{""Ученый"": 18, ""темнота"": 564}"
1117,👨‍🔬,"{""Ученый"": 18, ""человек"": 1003}"
1118,👨🏻‍🔬,"{""Ученый"": 18, ""свет"": 566, ""человек"": 1003}"
1119,👨🏼‍🔬,"{""Ученый"": 18, ""средний свет"": 561, ""человек"": 1003}"
1120,👨🏽‍🔬,"{""Ученый"": 18, ""человек"": 1003, ""средний"": 566}"
1121,👨🏾‍🔬,"{""Ученый"": 18, ""средний парк"": 561, ""человек"": 1003}"
1122,👨🏿‍🔬,"{""Ученый"": 18, ""человек"": 1003, ""темнота"": 564}"
1123,👩‍🔬,"{""Ученый"": 18, ""женщина"": 1012}"
1124,👩🏻‍🔬,"{""Ученый"": 18, ""свет"": 566, ""женщина"": 1012}"
1125,👩🏼‍🔬,"{""Ученый"": 18, ""средний свет"": 561, ""женщина"": 1012}"
1126,👩🏽‍🔬,"{""Ученый"": 18, ""средний"": 566, ""женщина"": 1012}"
1127,👩🏾‍🔬,"{""Ученый"": 18, ""средний парк"": 561, ""женщина"": 1012}"
1128,👩🏿‍🔬,"{""Ученый"": 18, ""женщина"": 1012, ""темнота"": 564}"
1129,🧑‍💻,"{""технолог"": 18}"
1130,🧑🏻‍💻,"{""свет"": 566, ""технолог"": 18}"
1131,🧑🏼‍💻,"{""средний свет"": 561, ""технолог"": 18}"
1132,🧑🏽‍💻,"{""технолог"": 18, ""средний"": 566}"
1133,🧑🏾‍💻,"{""технолог"": 18, ""средний парк"": 561}"
1134,🧑🏿‍💻,"{""технолог"": 18, ""темнота"": 564}"
1135,👨‍💻,"{""мужчина"": 15, ""блогер"": 2, ""человек"": 1003, ""технолог"": 18}"
1136,👨🏻‍💻,"{""свет"": 566, ""технолог"": 18, ""человек"": 1003}"
1137,👨🏼‍💻,"{""средний свет"": 561, ""технолог"": 18, ""человек"": 1003}"
1138,👨🏽‍💻,"{""технолог"": 18, ""человек"": 1003, ""средний"": 566}"
1139,👨🏾‍💻,"{""технолог"": 18, ""средний парк"": 561, ""человек"": 1003}"
1140,👨🏿‍💻,"{""технолог"": 18, ""человек"": 1003, ""темнота"": 564}"
1141,👩‍💻,"{""блогер"": 2, ""женщина"": 14, ""технолог"": 18}"
1142,👩🏻‍💻,"{""свет"": 566, ""технолог"": 18, ""женщина"": 1012}"
1143,👩🏼‍💻,"{""средний свет"": 561, ""технолог"": 18, ""женщина"": 1012}"
1144,👩🏽‍💻,"{""технолог"": 18, ""средний"": 566, ""женщина"": 1012}"
1145,👩🏾‍💻,"{""технолог"": 18, ""средний парк"": 561, ""женщина"": 1012}"
1146,👩🏿‍💻,"{""темнота"": 564, ""технолог"": 18, ""женщина"": 1012}"
1147,🧑‍🎤,"{""певец"": 18}"
1148,🧑🏻‍🎤,"{""свет"": 566, ""певец"": 18}"
1149,🧑🏼‍🎤,"{""средний свет"": 561, ""певец"": 18}"
1150,🧑🏽‍🎤,"{""певец"": 18, ""средний"": 566}"
1151,🧑🏾‍🎤,"{""средний парк"": 561, ""певец"": 18}"
1152,🧑🏿‍🎤,"{""певец"": 18, ""темнота"": 564}"
1153,👨‍🎤,"{""боуи"": 1, ""сане"": 1, ""человек"": 1003, ""певец"": 18, ""аладдин"": 1}"
1154,👨🏻‍🎤,"{""свет"": 566, ""человек"": 1003, ""певец"": 18}"
1155,👨🏼‍🎤,"{""средний свет"": 561, ""человек"": 1003, ""певец"": 18}"
1156,👨🏽‍🎤,"{""человек"": 1003, ""певец"": 18, ""средний"": 566}"
1157,👨🏾‍🎤,"{""средний парк"": 561, ""человек"": 1003, ""певец"": 18}"
1158,👨🏿‍🎤,"{""человек"": 1003, ""певец"": 18, ""темнота"": 564}"
1159,👩‍🎤,"{""женщина"": 1012, ""певец"": 18}"
1160,👩🏻‍🎤,"{""свет"": 566, ""певец"": 18, ""женщина"": 1012}"
1161,👩🏼‍🎤,"{""средний свет"": 561, ""певец"": 18, ""женщина"": 1012}"
1162,👩🏽‍🎤,"{""певец"": 18, ""средний"": 566, ""женщина"": 1012}"
1163,👩🏾‍🎤,"{""средний парк"": 561, ""певец"": 18, ""женщина"": 1012}"
1164,👩🏿‍🎤,"{""певец"": 18, ""женщина"": 1012, ""темнота"": 564}"
1165,🧑‍🎨,"{""художник"": 19}"
1166,🧑🏻‍🎨,"{""свет"": 566, ""художник"": 19}"
1167,🧑🏼‍🎨,"{""средний свет"": 561, ""художник"": 19}"
1168,🧑🏽‍🎨,"{""художник"": 19, ""средний"": 566}"
1169,🧑🏾‍🎨,"{""средний парк"": 561, ""художник"": 19}"
1170,🧑🏿‍🎨,"{""художник"": 19, ""темнота"": 564}"
1171,👨‍🎨,"{""человек"": 1003, ""художник"": 19}"
1172,👨🏻‍🎨,"{""свет"": 566, ""человек"": 1003, ""художник"": 19}"
1173,👨🏼‍🎨,"{""средний свет"": 561, ""человек"": 1003, ""художник"": 19}"
1174,👨🏽‍🎨,"{""человек"": 1003, ""художник"": 19, ""средний"": 566}"
1175,👨🏾‍🎨,"{""средний парк"": 561, ""человек"": 1003, ""художник"": 19}"
1176,👨🏿‍🎨,"{""человек"": 1003, ""художник"": 19, ""темнота"": 564}"
1177,👩‍🎨,"{""женщина"": 1012, ""художник"": 19}"
1178,👩🏻‍🎨,"{""свет"": 566, ""художник"": 19, ""женщина"": 1012}"
1179,👩🏼‍🎨,"{""средний свет"": 561, ""художник"": 19, ""женщина"": 1012}"
1180,👩🏽‍🎨,"{""художник"": 19, ""средний"": 566, ""женщина"": 1012}"
1181,👩🏾‍🎨,"{""средний парк"": 561, ""художник"": 19, ""женщина"": 1012}"
1182,👩🏿‍🎨,"{""темнота"": 564, ""художник"": 19, ""женщина"": 1012}"
1183,🧑‍✈️,"{""пилот"": 36}"
1184,🧑‍✈,"{""пилот"": 36}"
1185,🧑🏻‍✈️,"{""свет"": 566, ""пилот"": 36}"
1186,🧑🏻‍✈,"{""свет"": 566, ""пилот"": 36}"
1187,🧑🏼‍✈️,"{""средний свет"": 561, ""пилот"": 36}"
1188,🧑🏼‍✈,"{""средний свет"": 561, ""пилот"": 36}"
1189,🧑🏽‍✈️,"{""пилот"": 36, ""средний"": 566}"
1190,🧑🏽‍✈,"{""пилот"": 36, ""средний"": 566}"
1191,🧑🏾‍✈️,"{""пилот"": 36, ""средний парк"": 561}"
1192,🧑🏾‍✈,"{""пилот"": 36, ""средний парк"": 561}"
1193,🧑🏿‍✈️,"{""пилот"": 36, ""темнота"": 564}"
1194,🧑🏿‍✈,"{""пилот"": 36, ""темнота"": 564}"
1195,👨‍✈️,"{""человек"": 1003, ""пилот"": 36}"
1196,👨‍✈,"{""человек"": 1003, ""пилот"": 36}"
1197,👨🏻‍✈️,"{""свет"": 566, ""пилот"": 36, ""человек"": 1003}"
1198,👨🏻‍✈,"{""свет"": 566, ""пилот"": 36, ""человек"": 1003}"
1199,👨🏼‍✈️,"{""средний свет"": 561, ""пилот"": 36, ""человек"": 1003}"
1200,👨🏼‍✈,"{""средний свет"": 561, ""пилот"": 36, ""человек"": 1003}"
1201,👨🏽‍✈️,"{""пилот"": 36, ""человек"": 1003, ""средний"": 566}"
1202,👨🏽‍✈,"{""пилот"": 36, ""человек"": 1003, ""средний"": 566}"
1203,👨🏾‍✈️,"{""пилот"": 36, ""средний парк"": 561, ""человек"": 1003}"
1204,👨🏾‍✈,"{""пилот"": 36, ""средний парк"": 561, ""человек"": 1003}"
1205,👨🏿‍✈️,"{""пилот"": 36, ""человек"": 1003, ""темнота"": 564}"
1206,👨🏿‍✈,"{""пилот"": 36, ""человек"": 1003, ""темнота"": 564}"
1207,👩‍✈️,"{""женщина"": 1012, ""пилот"": 36}"
