,emoji,meanings,words,poses
1068,👨🏿‍🔧,"[""Man Mechanic: Dark Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1069,👩‍🔧,"[""Woman Mechanic""]","[""mechanic"", ""woman""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN""}"
1070,👩🏻‍🔧,"[""Woman Mechanic: Light Skin Tone""]","[""mechanic"", ""skin"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1071,👩🏼‍🔧,"[""Woman Mechanic: Medium-Light Skin Tone""]","[""mechanic"", ""skin"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1072,👩🏽‍🔧,"[""Woman Mechanic: Medium Skin Tone""]","[""mechanic"", ""skin"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1073,👩🏾‍🔧,"[""Woman Mechanic: Medium-Dark Skin Tone""]","[""mechanic"", ""skin"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1074,👩🏿‍🔧,"[""Woman Mechanic: Dark Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1075,🧑‍🏭,"[""Factory Worker""]","[""factory"", ""worker""]","{""factory"": ""NOUN"", ""worker"": ""NOUN""}"
1076,🧑🏻‍🏭,"[""Factory Worker: Light Skin Tone""]","[""skin"", ""worker"", ""factory"", ""tone"", ""light"", "":""]","{""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1077,🧑🏼‍🏭,"[""Factory Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""tone"", ""factory"", "":""]","{""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1078,🧑🏽‍🏭,"[""Factory Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""tone"", ""factory"", ""medium"", "":""]","{""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1079,🧑🏾‍🏭,"[""Factory Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""tone"", ""factory"", "":""]","{""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1080,🧑🏿‍🏭,"[""Factory Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""dark"", ""factory"", "":""]","{""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1081,👨‍🏭,"[""Man Factory Worker""]","[""factory"", ""worker"", ""man""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN""}"
1082,👨🏻‍🏭,"[""Man Factory Worker: Light Skin Tone""]","[""skin"", ""worker"", ""factory"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1083,👨🏼‍🏭,"[""Man Factory Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""tone"", ""factory"", ""man"", "":""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1084,👨🏽‍🏭,"[""Man Factory Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""tone"", ""factory"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1085,👨🏾‍🏭,"[""Man Factory Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""tone"", ""factory"", ""man"", "":""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1086,👨🏿‍🏭,"[""Man Factory Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""dark"", ""factory"", ""man"", "":""]","{""man"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1087,👩‍🏭,"[""Woman Factory Worker""]","[""factory"", ""worker"", ""woman""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN""}"
1088,👩🏻‍🏭,"[""Woman Factory Worker: Light Skin Tone""]","[""skin"", ""worker"", ""woman"", ""factory"", ""tone"", ""light"", "":""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1089,👩🏼‍🏭,"[""Woman Factory Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""woman"", ""tone"", ""factory"", "":""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1090,👩🏽‍🏭,"[""Woman Factory Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""woman"", ""tone"", ""factory"", ""medium"", "":""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1091,👩🏾‍🏭,"[""Woman Factory Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""woman"", ""tone"", ""factory"", "":""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1092,👩🏿‍🏭,"[""Woman Factory Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""woman"", ""dark"", ""factory"", "":""]","{""woman"": ""NOUN"", ""factory"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1093,🧑‍💼,"[""Office Worker""]","[""worker"", ""office""]","{""office"": ""NOUN"", ""worker"": ""NOUN""}"
1094,🧑🏻‍💼,"[""Office Worker: Light Skin Tone""]","[""skin"", ""worker"", ""tone"", ""light"", ""office"", "":""]","{""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1095,🧑🏼‍💼,"[""Office Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""tone"", ""office"", "":""]","{""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1096,🧑🏽‍💼,"[""Office Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""tone"", ""office"", ""medium"", "":""]","{""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1097,🧑🏾‍💼,"[""Office Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""tone"", ""office"", "":""]","{""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1098,🧑🏿‍💼,"[""Office Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""dark"", ""office"", "":""]","{""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1099,👨‍💼,"[""Man Office Worker"", ""Businessman"", ""CEO""]","[""worker"", ""ceo"", ""businessman"", ""office"", ""man""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", ""businessman"": ""NOUN"", ""ceo"": ""NOUN""}"
1100,👨🏻‍💼,"[""Man Office Worker: Light Skin Tone""]","[""skin"", ""worker"", ""tone"", ""light"", ""office"", ""man"", "":""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1101,👨🏼‍💼,"[""Man Office Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""tone"", ""office"", ""man"", "":""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1102,👨🏽‍💼,"[""Man Office Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""tone"", ""office"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1103,👨🏾‍💼,"[""Man Office Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""tone"", ""office"", ""man"", "":""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1104,👨🏿‍💼,"[""Man Office Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""dark"", ""office"", ""man"", "":""]","{""man"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1105,👩‍💼,"[""Woman Office Worker"", ""Businesswoman"", ""CEO""]","[""businesswoman"", ""worker"", ""ceo"", ""woman"", ""office""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", ""businesswoman"": ""NOUN"", ""ceo"": ""NOUN""}"
1106,👩🏻‍💼,"[""Woman Office Worker: Light Skin Tone""]","[""skin"", ""worker"", ""woman"", ""tone"", ""light"", ""office"", "":""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1107,👩🏼‍💼,"[""Woman Office Worker: Medium-Light Skin Tone""]","[""skin"", ""worker"", ""medium-light"", ""woman"", ""tone"", ""office"", "":""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1108,👩🏽‍💼,"[""Woman Office Worker: Medium Skin Tone""]","[""skin"", ""worker"", ""woman"", ""tone"", ""office"", ""medium"", "":""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1109,👩🏾‍💼,"[""Woman Office Worker: Medium-Dark Skin Tone""]","[""skin"", ""worker"", ""medium-dark"", ""woman"", ""tone"", ""office"", "":""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1110,👩🏿‍💼,"[""Woman Office Worker: Dark Skin Tone""]","[""skin"", ""worker"", ""tone"", ""woman"", ""dark"", ""office"", "":""]","{""woman"": ""NOUN"", ""office"": ""NOUN"", ""worker"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1111,🧑‍🔬,"[""Scientist""]","[""scientist""]","{""scientist"": ""NOUN""}"
1112,🧑🏻‍🔬,"[""Scientist: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""scientist"", "":""]","{""scientist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1113,🧑🏼‍🔬,"[""Scientist: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""scientist"", "":""]","{""scientist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1114,🧑🏽‍🔬,"[""Scientist: Medium Skin Tone""]","[""skin"", ""tone"", ""scientist"", ""medium"", "":""]","{""scientist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1115,🧑🏾‍🔬,"[""Scientist: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""scientist"", "":""]","{""scientist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1116,🧑🏿‍🔬,"[""Scientist: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""scientist"", "":""]","{""scientist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1117,👨‍🔬,"[""Man Scientist""]","[""scientist"", ""man""]","{""man"": ""NOUN"", ""scientist"": ""NOUN""}"
1118,👨🏻‍🔬,"[""Man Scientist: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""scientist"", ""man"", "":""]","{""man"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1119,👨🏼‍🔬,"[""Man Scientist: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""scientist"", ""man"", "":""]","{""man"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1120,👨🏽‍🔬,"[""Man Scientist: Medium Skin Tone""]","[""skin"", ""tone"", ""scientist"", ""medium"", ""man"", "":""]","{""man"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1121,👨🏾‍🔬,"[""Man Scientist: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""scientist"", ""man"", "":""]","{""man"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1122,👨🏿‍🔬,"[""Man Scientist: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""scientist"", ""man"", "":""]","{""man"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1123,👩‍🔬,"[""Woman Scientist""]","[""scientist"", ""woman""]","{""woman"": ""NOUN"", ""scientist"": ""NOUN""}"
1124,👩🏻‍🔬,"[""Woman Scientist: Light Skin Tone""]","[""skin"", ""woman"", ""tone"", ""light"", ""scientist"", "":""]","{""woman"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1125,👩🏼‍🔬,"[""Woman Scientist: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""woman"", ""tone"", ""scientist"", "":""]","{""woman"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1126,👩🏽‍🔬,"[""Woman Scientist: Medium Skin Tone""]","[""skin"", ""woman"", ""tone"", ""scientist"", ""medium"", "":""]","{""woman"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1127,👩🏾‍🔬,"[""Woman Scientist: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""woman"", ""tone"", ""scientist"", "":""]","{""woman"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1128,👩🏿‍🔬,"[""Woman Scientist: Dark Skin Tone""]","[""skin"", ""tone"", ""woman"", ""dark"", ""scientist"", "":""]","{""woman"": ""ADJ"", ""scientist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1129,🧑‍💻,"[""Technologist""]","[""technologist""]","{""technologist"": ""NOUN""}"
1130,🧑🏻‍💻,"[""Technologist: Light Skin Tone""]","[""skin"", ""tone"", ""technologist"", ""light"", "":""]","{""technologist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1131,🧑🏼‍💻,"[""Technologist: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""medium-light"", ""technologist"", "":""]","{""technologist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1132,🧑🏽‍💻,"[""Technologist: Medium Skin Tone""]","[""skin"", ""tone"", ""technologist"", ""medium"", "":""]","{""technologist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1133,🧑🏾‍💻,"[""Technologist: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""medium-dark"", ""technologist"", "":""]","{""technologist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1134,🧑🏿‍💻,"[""Technologist: Dark Skin Tone""]","[""skin"", ""tone"", "":"", ""technologist"", ""dark""]","{""technologist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1135,👨‍💻,"[""Man Technologist"", ""Male Blogger""]","[""technologist"", ""male"", ""man"", ""blogger""]","{""man"": ""NOUN"", ""technologist"": ""NOUN"", ""male"": ""ADJ"", ""blogger"": ""NOUN""}"
1136,👨🏻‍💻,"[""Man Technologist: Light Skin Tone""]","[""skin"", ""tone"", ""technologist"", ""light"", ""man"", "":""]","{""man"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1137,👨🏼‍💻,"[""Man Technologist: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""medium-light"", ""technologist"", ""man"", "":""]","{""man"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1138,👨🏽‍💻,"[""Man Technologist: Medium Skin Tone""]","[""skin"", ""tone"", ""technologist"", ""medium"", ""man"", "":""]","{""man"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1139,👨🏾‍💻,"[""Man Technologist: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""medium-dark"", ""technologist"", ""man"", "":""]","{""man"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1140,👨🏿‍💻,"[""Man Technologist: Dark Skin Tone""]","[""skin"", ""tone"", "":"", ""technologist"", ""man"", ""dark""]","{""man"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1141,👩‍💻,"[""Woman Technologist"", ""Female Blogger""]","[""technologist"", ""female"", ""blogger"", ""woman""]","{""woman"": ""NOUN"", ""technologist"": ""NOUN"", ""female"": ""NOUN"", ""blogger"": ""NOUN""}"
1142,👩🏻‍💻,"[""Woman Technologist: Light Skin Tone""]","[""skin"", ""tone"", ""woman"", ""technologist"", ""light"", "":""]","{""woman"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1143,👩🏼‍💻,"[""Woman Technologist: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""woman"", ""technologist"", "":""]","{""woman"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1144,👩🏽‍💻,"[""Woman Technologist: Medium Skin Tone""]","[""skin"", ""tone"", ""woman"", ""technologist"", ""medium"", "":""]","{""woman"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1145,👩🏾‍💻,"[""Woman Technologist: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""medium-dark"", ""woman"", ""technologist"", "":""]","{""woman"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1146,👩🏿‍💻,"[""Woman Technologist: Dark Skin Tone""]","[""skin"", ""tone"", "":"", ""woman"", ""technologist"", ""dark""]","{""woman"": ""ADJ"", ""technologist"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1147,🧑‍🎤,"[""Singer""]","[""singer""]","{""singer"": ""NOUN""}"
1148,🧑🏻‍🎤,"[""Singer: Light Skin Tone""]","[""skin"", ""singer"", ""tone"", ""light"", "":""]","{""singer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1149,🧑🏼‍🎤,"[""Singer: Medium-Light Skin Tone""]","[""skin"", ""singer"", ""medium-light"", ""tone"", "":""]","{""singer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1150,🧑🏽‍🎤,"[""Singer: Medium Skin Tone""]","[""skin"", ""singer"", ""tone"", ""medium"", "":""]","{""singer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1151,🧑🏾‍🎤,"[""Singer: Medium-Dark Skin Tone""]","[""skin"", ""singer"", ""medium-dark"", ""tone"", "":""]","{""singer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1152,🧑🏿‍🎤,"[""Singer: Dark Skin Tone""]","[""skin"", ""tone"", ""singer"", ""dark"", "":""]","{""singer"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1153,👨‍🎤,"[""Man Singer"", ""Aladdin Sane"", ""Bowie""]","[""bowie"", ""sane"", ""aladdin"", ""singer"", ""man""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", ""aladdin"": ""NOUN"", ""sane"": ""NOUN"", ""bowie"": ""NOUN""}"
1154,👨🏻‍🎤,"[""Man Singer: Light Skin Tone""]","[""skin"", ""singer"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1155,👨🏼‍🎤,"[""Man Singer: Medium-Light Skin Tone""]","[""skin"", ""singer"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1156,👨🏽‍🎤,"[""Man Singer: Medium Skin Tone""]","[""skin"", ""singer"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1157,👨🏾‍🎤,"[""Man Singer: Medium-Dark Skin Tone""]","[""skin"", ""singer"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1158,👨🏿‍🎤,"[""Man Singer: Dark Skin Tone""]","[""skin"", ""tone"", ""singer"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""singer"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1159,👩‍🎤,"[""Woman Singer""]","[""singer"", ""woman""]","{""woman"": ""NOUN"", ""singer"": ""NOUN""}"
1160,👩🏻‍🎤,"[""Woman Singer: Light Skin Tone""]","[""skin"", ""singer"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""singer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1161,👩🏼‍🎤,"[""Woman Singer: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""singer"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""singer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1162,👩🏽‍🎤,"[""Woman Singer: Medium Skin Tone""]","[""skin"", ""singer"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""singer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1163,👩🏾‍🎤,"[""Woman Singer: Medium-Dark Skin Tone""]","[""skin"", ""woman"", ""singer"", ""medium-dark"", ""tone"", "":""]","{""woman"": ""ADJ"", ""singer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
