,emoji,src_meanings,clean_meanings
818,🧏🏽‍♀,"[""Deaf Woman: Medium Skin Tone""]","[""deaf woman""]"
819,🧏🏾‍♀️,"[""Deaf Woman: Medium-Dark Skin Tone""]","[""deaf woman""]"
820,🧏🏾‍♀,"[""Deaf Woman: Medium-Dark Skin Tone""]","[""deaf woman""]"
821,🧏🏿‍♀️,"[""Deaf Woman: Dark Skin Tone""]","[""deaf woman""]"
822,🧏🏿‍♀,"[""Deaf Woman: Dark Skin Tone""]","[""deaf woman""]"
823,🙇,"[""Person Bowing"", ""Bowing Man"", ""Cute Boy"", ""Dogeza"", ""Massage""]","[""bowing"", ""bowing man"", ""cute boy"", ""dogeza"", ""massage""]"
824,🙇🏻,"[""Person Bowing: Light Skin Tone""]","[""bowing""]"
825,🙇🏼,"[""Person Bowing: Medium-Light Skin Tone""]","[""bowing""]"
826,🙇🏽,"[""Person Bowing: Medium Skin Tone""]","[""bowing""]"
827,🙇🏾,"[""Person Bowing: Medium-Dark Skin Tone""]","[""bowing""]"
828,🙇🏿,"[""Person Bowing: Dark Skin Tone""]","[""bowing""]"
829,🙇‍♂️,"[""Man Bowing""]","[""bowing""]"
830,🙇‍♂,"[""Man Bowing""]","[""bowing""]"
831,🙇🏻‍♂️,"[""Man Bowing: Light Skin Tone""]","[""bowing""]"
832,🙇🏻‍♂,"[""Man Bowing: Light Skin Tone""]","[""bowing""]"
833,🙇🏼‍♂️,"[""Man Bowing: Medium-Light Skin Tone""]","[""bowing""]"
834,🙇🏼‍♂,"[""Man Bowing: Medium-Light Skin Tone""]","[""bowing""]"
835,🙇🏽‍♂️,"[""Man Bowing: Medium Skin Tone""]","[""bowing""]"
836,🙇🏽‍♂,"[""Man Bowing: Medium Skin Tone""]","[""bowing""]"
837,🙇🏾‍♂️,"[""Man Bowing: Medium-Dark Skin Tone""]","[""bowing""]"
838,🙇🏾‍♂,"[""Man Bowing: Medium-Dark Skin Tone""]","[""bowing""]"
839,🙇🏿‍♂️,"[""Man Bowing: Dark Skin Tone""]","[""bowing""]"
840,🙇🏿‍♂,"[""Man Bowing: Dark Skin Tone""]","[""bowing""]"
841,🙇‍♀️,"[""Woman Bowing""]",[]
842,🙇‍♀,"[""Woman Bowing""]",[]
843,🙇🏻‍♀️,"[""Woman Bowing: Light Skin Tone""]",[]
844,🙇🏻‍♀,"[""Woman Bowing: Light Skin Tone""]",[]
845,🙇🏼‍♀️,"[""Woman Bowing: Medium-Light Skin Tone""]",[]
846,🙇🏼‍♀,"[""Woman Bowing: Medium-Light Skin Tone""]",[]
847,🙇🏽‍♀️,"[""Woman Bowing: Medium Skin Tone""]",[]
848,🙇🏽‍♀,"[""Woman Bowing: Medium Skin Tone""]",[]
849,🙇🏾‍♀️,"[""Woman Bowing: Medium-Dark Skin Tone""]",[]
850,🙇🏾‍♀,"[""Woman Bowing: Medium-Dark Skin Tone""]",[]
851,🙇🏿‍♀️,"[""Woman Bowing: Dark Skin Tone""]",[]
852,🙇🏿‍♀,"[""Woman Bowing: Dark Skin Tone""]",[]
853,🤦,"[""Person Facepalming"", ""Facepalm"", ""Hitting Head"", ""Picard"", ""SMH""]","[""facepalming"", ""facepalm"", ""hitting head"", ""picard"", ""smh""]"
854,🤦🏻,"[""Person Facepalming: Light Skin Tone""]","[""facepalming""]"
855,🤦🏼,"[""Person Facepalming: Medium-Light Skin Tone""]","[""facepalming""]"
856,🤦🏽,"[""Person Facepalming: Medium Skin Tone""]","[""facepalming""]"
857,🤦🏾,"[""Person Facepalming: Medium-Dark Skin Tone""]","[""facepalming""]"
858,🤦🏿,"[""Person Facepalming: Dark Skin Tone""]","[""facepalming""]"
859,🤦‍♂️,"[""Man Facepalming""]","[""facepalming""]"
860,🤦‍♂,"[""Man Facepalming""]","[""facepalming""]"
861,🤦🏻‍♂️,"[""Man Facepalming: Light Skin Tone""]","[""facepalming""]"
862,🤦🏻‍♂,"[""Man Facepalming: Light Skin Tone""]","[""facepalming""]"
863,🤦🏼‍♂️,"[""Man Facepalming: Medium-Light Skin Tone""]","[""facepalming""]"
864,🤦🏼‍♂,"[""Man Facepalming: Medium-Light Skin Tone""]","[""facepalming""]"
865,🤦🏽‍♂️,"[""Man Facepalming: Medium Skin Tone""]","[""facepalming""]"
866,🤦🏽‍♂,"[""Man Facepalming: Medium Skin Tone""]","[""facepalming""]"
867,🤦🏾‍♂️,"[""Man Facepalming: Medium-Dark Skin Tone""]","[""facepalming""]"
868,🤦🏾‍♂,"[""Man Facepalming: Medium-Dark Skin Tone""]","[""facepalming""]"
869,🤦🏿‍♂️,"[""Man Facepalming: Dark Skin Tone""]","[""facepalming""]"
870,🤦🏿‍♂,"[""Man Facepalming: Dark Skin Tone""]","[""facepalming""]"
871,🤦‍♀️,"[""Woman Facepalming""]",[]
872,🤦‍♀,"[""Woman Facepalming""]",[]
873,🤦🏻‍♀️,"[""Woman Facepalming: Light Skin Tone""]",[]
874,🤦🏻‍♀,"[""Woman Facepalming: Light Skin Tone""]",[]
875,🤦🏼‍♀️,"[""Woman Facepalming: Medium-Light Skin Tone""]",[]
876,🤦🏼‍♀,"[""Woman Facepalming: Medium-Light Skin Tone""]",[]
877,🤦🏽‍♀️,"[""Woman Facepalming: Medium Skin Tone""]",[]
878,🤦🏽‍♀,"[""Woman Facepalming: Medium Skin Tone""]",[]
879,🤦🏾‍♀️,"[""Woman Facepalming: Medium-Dark Skin Tone""]",[]
880,🤦🏾‍♀,"[""Woman Facepalming: Medium-Dark Skin Tone""]",[]
881,🤦🏿‍♀️,"[""Woman Facepalming: Dark Skin Tone""]",[]
882,🤦🏿‍♀,"[""Woman Facepalming: Dark Skin Tone""]",[]
883,🤷,"[""Person Shrugging"", ""\u00af\\_(\u30c4)_/\u00af"", ""Shrug"", ""Shruggie""]","[""shrugging"", ""\u00af\\_(\u30c4)_/\u00af"", ""shrug"", ""shruggie""]"
884,🤷🏻,"[""Person Shrugging: Light Skin Tone""]","[""shrugging""]"
885,🤷🏼,"[""Person Shrugging: Medium-Light Skin Tone""]","[""shrugging""]"
886,🤷🏽,"[""Person Shrugging: Medium Skin Tone""]","[""shrugging""]"
887,🤷🏾,"[""Person Shrugging: Medium-Dark Skin Tone""]","[""shrugging""]"
888,🤷🏿,"[""Person Shrugging: Dark Skin Tone""]","[""shrugging""]"
889,🤷‍♂️,"[""Man Shrugging""]","[""shrugging""]"
890,🤷‍♂,"[""Man Shrugging""]","[""shrugging""]"
891,🤷🏻‍♂️,"[""Man Shrugging: Light Skin Tone""]","[""shrugging""]"
892,🤷🏻‍♂,"[""Man Shrugging: Light Skin Tone""]","[""shrugging""]"
893,🤷🏼‍♂️,"[""Man Shrugging: Medium-Light Skin Tone""]","[""shrugging""]"
894,🤷🏼‍♂,"[""Man Shrugging: Medium-Light Skin Tone""]","[""shrugging""]"
895,🤷🏽‍♂️,"[""Man Shrugging: Medium Skin Tone""]","[""shrugging""]"
896,🤷🏽‍♂,"[""Man Shrugging: Medium Skin Tone""]","[""shrugging""]"
897,🤷🏾‍♂️,"[""Man Shrugging: Medium-Dark Skin Tone""]","[""shrugging""]"
898,🤷🏾‍♂,"[""Man Shrugging: Medium-Dark Skin Tone""]","[""shrugging""]"
899,🤷🏿‍♂️,"[""Man Shrugging: Dark Skin Tone""]","[""shrugging""]"
900,🤷🏿‍♂,"[""Man Shrugging: Dark Skin Tone""]","[""shrugging""]"
901,🤷‍♀️,"[""Woman Shrugging""]",[]
902,🤷‍♀,"[""Woman Shrugging""]",[]
903,🤷🏻‍♀️,"[""Woman Shrugging: Light Skin Tone""]",[]
904,🤷🏻‍♀,"[""Woman Shrugging: Light Skin Tone""]",[]
905,🤷🏼‍♀️,"[""Woman Shrugging: Medium-Light Skin Tone""]",[]
906,🤷🏼‍♀,"[""Woman Shrugging: Medium-Light Skin Tone""]",[]
907,🤷🏽‍♀️,"[""Woman Shrugging: Medium Skin Tone""]",[]
908,🤷🏽‍♀,"[""Woman Shrugging: Medium Skin Tone""]",[]
909,🤷🏾‍♀️,"[""Woman Shrugging: Medium-Dark Skin Tone""]",[]
910,🤷🏾‍♀,"[""Woman Shrugging: Medium-Dark Skin Tone""]",[]
911,🤷🏿‍♀️,"[""Woman Shrugging: Dark Skin Tone""]",[]
912,🤷🏿‍♀,"[""Woman Shrugging: Dark Skin Tone""]",[]
913,🧑‍⚕️,"[""Health Worker""]","[""health worker""]"
914,🧑‍⚕,"[""Health Worker""]","[""health worker""]"
915,🧑🏻‍⚕️,"[""Health Worker: Light Skin Tone""]","[""health worker""]"
916,🧑🏻‍⚕,"[""Health Worker: Light Skin Tone""]","[""health worker""]"
917,🧑🏼‍⚕️,"[""Health Worker: Medium-Light Skin Tone""]","[""health worker""]"
918,🧑🏼‍⚕,"[""Health Worker: Medium-Light Skin Tone""]","[""health worker""]"
919,🧑🏽‍⚕️,"[""Health Worker: Medium Skin Tone""]","[""health worker""]"
920,🧑🏽‍⚕,"[""Health Worker: Medium Skin Tone""]","[""health worker""]"
921,🧑🏾‍⚕️,"[""Health Worker: Medium-Dark Skin Tone""]","[""health worker""]"
922,🧑🏾‍⚕,"[""Health Worker: Medium-Dark Skin Tone""]","[""health worker""]"
923,🧑🏿‍⚕️,"[""Health Worker: Dark Skin Tone""]","[""health worker""]"
924,🧑🏿‍⚕,"[""Health Worker: Dark Skin Tone""]","[""health worker""]"
925,👨‍⚕️,"[""Man Health Worker"", ""Male Doctor"", ""Male Nurse""]","[""health worker"", ""male doctor"", ""male nurse""]"
926,👨‍⚕,"[""Man Health Worker"", ""Male Doctor"", ""Male Nurse""]","[""health worker"", ""male doctor"", ""male nurse""]"
927,👨🏻‍⚕️,"[""Man Health Worker: Light Skin Tone""]","[""health worker""]"
928,👨🏻‍⚕,"[""Man Health Worker: Light Skin Tone""]","[""health worker""]"
929,👨🏼‍⚕️,"[""Man Health Worker: Medium-Light Skin Tone""]","[""health worker""]"
930,👨🏼‍⚕,"[""Man Health Worker: Medium-Light Skin Tone""]","[""health worker""]"
931,👨🏽‍⚕️,"[""Man Health Worker: Medium Skin Tone""]","[""health worker""]"
932,👨🏽‍⚕,"[""Man Health Worker: Medium Skin Tone""]","[""health worker""]"
933,👨🏾‍⚕️,"[""Man Health Worker: Medium-Dark Skin Tone""]","[""health worker""]"
934,👨🏾‍⚕,"[""Man Health Worker: Medium-Dark Skin Tone""]","[""health worker""]"
935,👨🏿‍⚕️,"[""Man Health Worker: Dark Skin Tone""]","[""health worker""]"
936,👨🏿‍⚕,"[""Man Health Worker: Dark Skin Tone""]","[""health worker""]"
937,👩‍⚕️,"[""Woman Health Worker"", ""Female Doctor"", ""Female Nurse""]","[""female doctor"", ""female nurse""]"
938,👩‍⚕,"[""Woman Health Worker"", ""Female Doctor"", ""Female Nurse""]","[""female doctor"", ""female nurse""]"
939,👩🏻‍⚕️,"[""Woman Health Worker: Light Skin Tone""]",[]
940,👩🏻‍⚕,"[""Woman Health Worker: Light Skin Tone""]",[]
941,👩🏼‍⚕️,"[""Woman Health Worker: Medium-Light Skin Tone""]",[]
942,👩🏼‍⚕,"[""Woman Health Worker: Medium-Light Skin Tone""]",[]
943,👩🏽‍⚕️,"[""Woman Health Worker: Medium Skin Tone""]",[]
944,👩🏽‍⚕,"[""Woman Health Worker: Medium Skin Tone""]",[]
945,👩🏾‍⚕️,"[""Woman Health Worker: Medium-Dark Skin Tone""]",[]
946,👩🏾‍⚕,"[""Woman Health Worker: Medium-Dark Skin Tone""]",[]
947,👩🏿‍⚕️,"[""Woman Health Worker: Dark Skin Tone""]",[]
948,👩🏿‍⚕,"[""Woman Health Worker: Dark Skin Tone""]",[]
949,🧑‍🎓,"[""Student""]","[""student""]"
950,🧑🏻‍🎓,"[""Student: Light Skin Tone""]","[""student""]"
951,🧑🏼‍🎓,"[""Student: Medium-Light Skin Tone""]","[""student""]"
952,🧑🏽‍🎓,"[""Student: Medium Skin Tone""]","[""student""]"
953,🧑🏾‍🎓,"[""Student: Medium-Dark Skin Tone""]","[""student""]"
954,🧑🏿‍🎓,"[""Student: Dark Skin Tone""]","[""student""]"
955,👨‍🎓,"[""Man Student""]","[""student""]"
956,👨🏻‍🎓,"[""Man Student: Light Skin Tone""]","[""student""]"
957,👨🏼‍🎓,"[""Man Student: Medium-Light Skin Tone""]","[""student""]"
958,👨🏽‍🎓,"[""Man Student: Medium Skin Tone""]","[""student""]"
959,👨🏾‍🎓,"[""Man Student: Medium-Dark Skin Tone""]","[""student""]"
960,👨🏿‍🎓,"[""Man Student: Dark Skin Tone""]","[""student""]"
961,👩‍🎓,"[""Woman Student""]",[]
962,👩🏻‍🎓,"[""Woman Student: Light Skin Tone""]",[]
963,👩🏼‍🎓,"[""Woman Student: Medium-Light Skin Tone""]",[]
964,👩🏽‍🎓,"[""Woman Student: Medium Skin Tone""]",[]
965,👩🏾‍🎓,"[""Woman Student: Medium-Dark Skin Tone""]",[]
966,👩🏿‍🎓,"[""Woman Student: Dark Skin Tone""]",[]
967,🧑‍🏫,"[""Teacher""]","[""teacher""]"
968,🧑🏻‍🏫,"[""Teacher: Light Skin Tone""]","[""teacher""]"
969,🧑🏼‍🏫,"[""Teacher: Medium-Light Skin Tone""]","[""teacher""]"
970,🧑🏽‍🏫,"[""Teacher: Medium Skin Tone""]","[""teacher""]"
971,🧑🏾‍🏫,"[""Teacher: Medium-Dark Skin Tone""]","[""teacher""]"
972,🧑🏿‍🏫,"[""Teacher: Dark Skin Tone""]","[""teacher""]"
973,👨‍🏫,"[""Man Teacher""]","[""teacher""]"
974,👨🏻‍🏫,"[""Man Teacher: Light Skin Tone""]","[""teacher""]"
975,👨🏼‍🏫,"[""Man Teacher: Medium-Light Skin Tone""]","[""teacher""]"
976,👨🏽‍🏫,"[""Man Teacher: Medium Skin Tone""]","[""teacher""]"
977,👨🏾‍🏫,"[""Man Teacher: Medium-Dark Skin Tone""]","[""teacher""]"
978,👨🏿‍🏫,"[""Man Teacher: Dark Skin Tone""]","[""teacher""]"
979,👩‍🏫,"[""Woman Teacher""]",[]
980,👩🏻‍🏫,"[""Woman Teacher: Light Skin Tone""]",[]
981,👩🏼‍🏫,"[""Woman Teacher: Medium-Light Skin Tone""]",[]
982,👩🏽‍🏫,"[""Woman Teacher: Medium Skin Tone""]",[]
983,👩🏾‍🏫,"[""Woman Teacher: Medium-Dark Skin Tone""]",[]
984,👩🏿‍🏫,"[""Woman Teacher: Dark Skin Tone""]",[]
985,🧑‍⚖️,"[""Judge""]","[""judge""]"
986,🧑‍⚖,"[""Judge""]","[""judge""]"
987,🧑🏻‍⚖️,"[""Judge: Light Skin Tone""]","[""judge""]"
988,🧑🏻‍⚖,"[""Judge: Light Skin Tone""]","[""judge""]"
989,🧑🏼‍⚖️,"[""Judge: Medium-Light Skin Tone""]","[""judge""]"
990,🧑🏼‍⚖,"[""Judge: Medium-Light Skin Tone""]","[""judge""]"
991,🧑🏽‍⚖️,"[""Judge: Medium Skin Tone""]","[""judge""]"
992,🧑🏽‍⚖,"[""Judge: Medium Skin Tone""]","[""judge""]"
993,🧑🏾‍⚖️,"[""Judge: Medium-Dark Skin Tone""]","[""judge""]"
994,🧑🏾‍⚖,"[""Judge: Medium-Dark Skin Tone""]","[""judge""]"
995,🧑🏿‍⚖️,"[""Judge: Dark Skin Tone""]","[""judge""]"
996,🧑🏿‍⚖,"[""Judge: Dark Skin Tone""]","[""judge""]"
997,👨‍⚖️,"[""Man Judge""]","[""judge""]"
998,👨‍⚖,"[""Man Judge""]","[""judge""]"
999,👨🏻‍⚖️,"[""Man Judge: Light Skin Tone""]","[""judge""]"
1000,👨🏻‍⚖,"[""Man Judge: Light Skin Tone""]","[""judge""]"
1001,👨🏼‍⚖️,"[""Man Judge: Medium-Light Skin Tone""]","[""judge""]"
1002,👨🏼‍⚖,"[""Man Judge: Medium-Light Skin Tone""]","[""judge""]"
1003,👨🏽‍⚖️,"[""Man Judge: Medium Skin Tone""]","[""judge""]"
1004,👨🏽‍⚖,"[""Man Judge: Medium Skin Tone""]","[""judge""]"
1005,👨🏾‍⚖️,"[""Man Judge: Medium-Dark Skin Tone""]","[""judge""]"
1006,👨🏾‍⚖,"[""Man Judge: Medium-Dark Skin Tone""]","[""judge""]"
1007,👨🏿‍⚖️,"[""Man Judge: Dark Skin Tone""]","[""judge""]"
1008,👨🏿‍⚖,"[""Man Judge: Dark Skin Tone""]","[""judge""]"
1009,👩‍⚖️,"[""Woman Judge""]",[]
1010,👩‍⚖,"[""Woman Judge""]",[]
1011,👩🏻‍⚖️,"[""Woman Judge: Light Skin Tone""]",[]
1012,👩🏻‍⚖,"[""Woman Judge: Light Skin Tone""]",[]
1013,👩🏼‍⚖️,"[""Woman Judge: Medium-Light Skin Tone""]",[]
1014,👩🏼‍⚖,"[""Woman Judge: Medium-Light Skin Tone""]",[]
1015,👩🏽‍⚖️,"[""Woman Judge: Medium Skin Tone""]",[]
1016,👩🏽‍⚖,"[""Woman Judge: Medium Skin Tone""]",[]
1017,👩🏾‍⚖️,"[""Woman Judge: Medium-Dark Skin Tone""]",[]
1018,👩🏾‍⚖,"[""Woman Judge: Medium-Dark Skin Tone""]",[]
1019,👩🏿‍⚖️,"[""Woman Judge: Dark Skin Tone""]",[]
1020,👩🏿‍⚖,"[""Woman Judge: Dark Skin Tone""]",[]
1021,🧑‍🌾,"[""Farmer""]","[""farmer""]"
1022,🧑🏻‍🌾,"[""Farmer: Light Skin Tone""]","[""farmer""]"
1023,🧑🏼‍🌾,"[""Farmer: Medium-Light Skin Tone""]","[""farmer""]"
1024,🧑🏽‍🌾,"[""Farmer: Medium Skin Tone""]","[""farmer""]"
1025,🧑🏾‍🌾,"[""Farmer: Medium-Dark Skin Tone""]","[""farmer""]"
1026,🧑🏿‍🌾,"[""Farmer: Dark Skin Tone""]","[""farmer""]"
1027,👨‍🌾,"[""Man Farmer""]","[""farmer""]"
1028,👨🏻‍🌾,"[""Man Farmer: Light Skin Tone""]","[""farmer""]"
1029,👨🏼‍🌾,"[""Man Farmer: Medium-Light Skin Tone""]","[""farmer""]"
1030,👨🏽‍🌾,"[""Man Farmer: Medium Skin Tone""]","[""farmer""]"
1031,👨🏾‍🌾,"[""Man Farmer: Medium-Dark Skin Tone""]","[""farmer""]"
1032,👨🏿‍🌾,"[""Man Farmer: Dark Skin Tone""]","[""farmer""]"
1033,👩‍🌾,"[""Woman Farmer""]",[]
1034,👩🏻‍🌾,"[""Woman Farmer: Light Skin Tone""]",[]
1035,👩🏼‍🌾,"[""Woman Farmer: Medium-Light Skin Tone""]",[]
1036,👩🏽‍🌾,"[""Woman Farmer: Medium Skin Tone""]",[]
1037,👩🏾‍🌾,"[""Woman Farmer: Medium-Dark Skin Tone""]",[]
1038,👩🏿‍🌾,"[""Woman Farmer: Dark Skin Tone""]",[]
1039,🧑‍🍳,"[""Cook""]","[""cook""]"
1040,🧑🏻‍🍳,"[""Cook: Light Skin Tone""]","[""cook""]"
1041,🧑🏼‍🍳,"[""Cook: Medium-Light Skin Tone""]","[""cook""]"
1042,🧑🏽‍🍳,"[""Cook: Medium Skin Tone""]","[""cook""]"
1043,🧑🏾‍🍳,"[""Cook: Medium-Dark Skin Tone""]","[""cook""]"
1044,🧑🏿‍🍳,"[""Cook: Dark Skin Tone""]","[""cook""]"
1045,👨‍🍳,"[""Man Cook"", ""Male Chef""]","[""cook"", ""male chef""]"
1046,👨🏻‍🍳,"[""Man Cook: Light Skin Tone""]","[""cook""]"
1047,👨🏼‍🍳,"[""Man Cook: Medium-Light Skin Tone""]","[""cook""]"
1048,👨🏽‍🍳,"[""Man Cook: Medium Skin Tone""]","[""cook""]"
1049,👨🏾‍🍳,"[""Man Cook: Medium-Dark Skin Tone""]","[""cook""]"
1050,👨🏿‍🍳,"[""Man Cook: Dark Skin Tone""]","[""cook""]"
1051,👩‍🍳,"[""Woman Cook"", ""Female Chef""]","[""female chef""]"
1052,👩🏻‍🍳,"[""Woman Cook: Light Skin Tone""]",[]
1053,👩🏼‍🍳,"[""Woman Cook: Medium-Light Skin Tone""]",[]
1054,👩🏽‍🍳,"[""Woman Cook: Medium Skin Tone""]",[]
1055,👩🏾‍🍳,"[""Woman Cook: Medium-Dark Skin Tone""]",[]
1056,👩🏿‍🍳,"[""Woman Cook: Dark Skin Tone""]",[]
1057,🧑‍🔧,"[""Mechanic""]","[""mechanic""]"
1058,🧑🏻‍🔧,"[""Mechanic: Light Skin Tone""]","[""mechanic""]"
1059,🧑🏼‍🔧,"[""Mechanic: Medium-Light Skin Tone""]","[""mechanic""]"
1060,🧑🏽‍🔧,"[""Mechanic: Medium Skin Tone""]","[""mechanic""]"
1061,🧑🏾‍🔧,"[""Mechanic: Medium-Dark Skin Tone""]","[""mechanic""]"
1062,🧑🏿‍🔧,"[""Mechanic: Dark Skin Tone""]","[""mechanic""]"
1063,👨‍🔧,"[""Man Mechanic""]","[""mechanic""]"
1064,👨🏻‍🔧,"[""Man Mechanic: Light Skin Tone""]","[""mechanic""]"
1065,👨🏼‍🔧,"[""Man Mechanic: Medium-Light Skin Tone""]","[""mechanic""]"
1066,👨🏽‍🔧,"[""Man Mechanic: Medium Skin Tone""]","[""mechanic""]"
1067,👨🏾‍🔧,"[""Man Mechanic: Medium-Dark Skin Tone""]","[""mechanic""]"
1068,👨🏿‍🔧,"[""Man Mechanic: Dark Skin Tone""]","[""mechanic""]"
1069,👩‍🔧,"[""Woman Mechanic""]",[]
1070,👩🏻‍🔧,"[""Woman Mechanic: Light Skin Tone""]",[]
1071,👩🏼‍🔧,"[""Woman Mechanic: Medium-Light Skin Tone""]",[]
1072,👩🏽‍🔧,"[""Woman Mechanic: Medium Skin Tone""]",[]
1073,👩🏾‍🔧,"[""Woman Mechanic: Medium-Dark Skin Tone""]",[]
1074,👩🏿‍🔧,"[""Woman Mechanic: Dark Skin Tone""]",[]
1075,🧑‍🏭,"[""Factory Worker""]","[""factory worker""]"
1076,🧑🏻‍🏭,"[""Factory Worker: Light Skin Tone""]","[""factory worker""]"
1077,🧑🏼‍🏭,"[""Factory Worker: Medium-Light Skin Tone""]","[""factory worker""]"
1078,🧑🏽‍🏭,"[""Factory Worker: Medium Skin Tone""]","[""factory worker""]"
1079,🧑🏾‍🏭,"[""Factory Worker: Medium-Dark Skin Tone""]","[""factory worker""]"
1080,🧑🏿‍🏭,"[""Factory Worker: Dark Skin Tone""]","[""factory worker""]"
1081,👨‍🏭,"[""Man Factory Worker""]","[""factory worker""]"
1082,👨🏻‍🏭,"[""Man Factory Worker: Light Skin Tone""]","[""factory worker""]"
1083,👨🏼‍🏭,"[""Man Factory Worker: Medium-Light Skin Tone""]","[""factory worker""]"
1084,👨🏽‍🏭,"[""Man Factory Worker: Medium Skin Tone""]","[""factory worker""]"
1085,👨🏾‍🏭,"[""Man Factory Worker: Medium-Dark Skin Tone""]","[""factory worker""]"
1086,👨🏿‍🏭,"[""Man Factory Worker: Dark Skin Tone""]","[""factory worker""]"
1087,👩‍🏭,"[""Woman Factory Worker""]",[]
1088,👩🏻‍🏭,"[""Woman Factory Worker: Light Skin Tone""]",[]
1089,👩🏼‍🏭,"[""Woman Factory Worker: Medium-Light Skin Tone""]",[]
1090,👩🏽‍🏭,"[""Woman Factory Worker: Medium Skin Tone""]",[]
1091,👩🏾‍🏭,"[""Woman Factory Worker: Medium-Dark Skin Tone""]",[]
1092,👩🏿‍🏭,"[""Woman Factory Worker: Dark Skin Tone""]",[]
1093,🧑‍💼,"[""Office Worker""]","[""office worker""]"
1094,🧑🏻‍💼,"[""Office Worker: Light Skin Tone""]","[""office worker""]"
1095,🧑🏼‍💼,"[""Office Worker: Medium-Light Skin Tone""]","[""office worker""]"
1096,🧑🏽‍💼,"[""Office Worker: Medium Skin Tone""]","[""office worker""]"
1097,🧑🏾‍💼,"[""Office Worker: Medium-Dark Skin Tone""]","[""office worker""]"
1098,🧑🏿‍💼,"[""Office Worker: Dark Skin Tone""]","[""office worker""]"
1099,👨‍💼,"[""Man Office Worker"", ""Businessman"", ""CEO""]","[""office worker"", ""businessman"", ""ceo""]"
1100,👨🏻‍💼,"[""Man Office Worker: Light Skin Tone""]","[""office worker""]"
1101,👨🏼‍💼,"[""Man Office Worker: Medium-Light Skin Tone""]","[""office worker""]"
1102,👨🏽‍💼,"[""Man Office Worker: Medium Skin Tone""]","[""office worker""]"
1103,👨🏾‍💼,"[""Man Office Worker: Medium-Dark Skin Tone""]","[""office worker""]"
1104,👨🏿‍💼,"[""Man Office Worker: Dark Skin Tone""]","[""office worker""]"
1105,👩‍💼,"[""Woman Office Worker"", ""Businesswoman"", ""CEO""]","[""businesswoman"", ""ceo""]"
1106,👩🏻‍💼,"[""Woman Office Worker: Light Skin Tone""]",[]
1107,👩🏼‍💼,"[""Woman Office Worker: Medium-Light Skin Tone""]",[]
1108,👩🏽‍💼,"[""Woman Office Worker: Medium Skin Tone""]",[]
1109,👩🏾‍💼,"[""Woman Office Worker: Medium-Dark Skin Tone""]",[]
1110,👩🏿‍💼,"[""Woman Office Worker: Dark Skin Tone""]",[]
1111,🧑‍🔬,"[""Scientist""]","[""scientist""]"
